trip_id,pickup_ts,dropoff_ts,vendor_id,passenger_count,trip_distance,fare_amount,tip_amount,total_amount,pickup_borough,dropoff_borough,payment_type,load_ts
T00000628,2024-03-02 06:24:00,2024-03-02 07:15:00,V003,1,2.60,24.36,5.22,32.26,Bronx,Queens,Card,2024-03-02 08:00:00
T00000629,2024-03-24 04:18:00,2024-03-24 05:13:00,V003,4,1.47,24.79,5.80,32.83,Brooklyn,Queens,Card,2024-03-26 22:25:00
T00000630,2024-04-03 17:41:00,2024-04-03 18:37:00,V003,1,5.39,31.71,8.63,43.01,Queens,Queens,Card,2024-04-05 02:50:00
T00000631,2024-04-20 10:59:00,2024-04-20 12:05:00,V002,2,1.06,27.64,1.91,31.91,Bronx,Queens,Cash,2024-04-22 04:32:00
T00000632,2024-04-20 12:46:00,2024-04-20 13:14:00,V003,3,11.45,36.65,6.95,43.84,Bronx,Staten Island,Card,2024-04-23 05:18:00
T00000633,2024-01-31 14:14:00,2024-01-31 15:15:00,V004,2,4.33,30.62,1.50,32.41,Staten Island,Manhattan,Cash,2024-02-02 12:09:00
T00000634,2024-06-13 07:43:00,2024-06-13 08:36:00,V003,1,2.23,25.84,2.84,30.15,Queens,Manhattan,Card,2024-06-15 06:22:00
T00000635,2024-06-07 17:33:00,2024-06-07 18:05:00,V004,3,4.94,23.25,5.62,29.92,Queens,Brooklyn,Card,2024-06-10 06:04:00
T00000636,2024-05-27 04:09:00,2024-05-27 04:42:00,V001,1,1.11,16.61,0.87,17.80,Brooklyn,Bronx,Cash,2024-05-29 08:56:00
T00000637,2024-04-15 00:35:00,2024-04-15 00:39:00,V001,2,1.80,7.83,0.44,10.84,Manhattan,Queens,Cash,2024-04-16 07:18:00
T00000638,2024-01-20 09:40:00,2024-01-20 10:34:00,V001,3,2.60,25.13,5.77,31.31,Manhattan,Queens,Card,2024-01-20 15:35:00
T00000639,2024-04-19 00:32:00,2024-04-19 01:16:00,V001,6,1.37,20.58,5.40,27.34,Queens,Brooklyn,Card,2024-04-20 23:05:00
T00000640,2024-01-28 19:09:00,2024-01-28 19:39:00,V003,4,2.03,18.13,1.09,21.22,Manhattan,Queens,Cash,2024-01-29 17:43:00
T00000641,2024-01-04 22:13:00,2024-01-04 23:27:00,V002,1,3.74,34.21,8.21,43.20,Bronx,Queens,Card,2024-01-07 05:32:00
T00000642,2024-01-18 17:11:00,2024-01-18 17:31:00,V001,3,5.60,20.99,5.82,27.39,Queens,Manhattan,Card,2024-01-18 19:05:00
T00000643,2024-03-06 22:35:00,2024-03-06 22:52:00,V003,6,1.53,11.43,0.74,12.43,Staten Island,Manhattan,Cash,2024-03-07 06:21:00
T00000644,2024-01-22 08:41:00,2024-01-22 09:50:00,V003,2,3.21,31.04,7.18,40.85,Queens,Brooklyn,Card,2024-01-22 22:24:00
T00000645,2024-05-21 13:57:00,2024-05-21 15:00:00,V004,2,2.34,27.68,2.72,31.75,Queens,Brooklyn,Card,2024-05-21 18:28:00
T00000646,2024-04-16 19:59:00,2024-04-16 21:04:00,V001,2,3.83,31.64,3.22,35.03,Bronx,Queens,Card,2024-04-17 22:38:00
T00000647,2024-03-14 18:54:00,2024-03-14 19:00:00,V002,3,7.95,20.31,0.77,23.33,Queens,Queens,Cash,2024-03-15 23:39:00
T00000648,2024-06-24 19:07:00,2024-06-24 19:26:00,V001,2,1.74,13.64,1.48,15.69,Manhattan,Brooklyn,Card,2024-06-25 00:32:00
T00000649,2024-01-16 09:40:00,2024-01-16 09:59:00,V002,1,4.36,19.57,2.86,25.03,Brooklyn,Queens,Card,2024-01-18 23:03:00
T00000650,2024-01-26 11:02:00,2024-01-26 12:08:00,V003,2,4.30,31.95,0.53,33.00,Manhattan,Bronx,Cash,2024-01-27 06:47:00
T00000651,2024-04-19 14:48:00,2024-04-19 16:02:00,V001,1,1.40,28.34,4.65,35.48,Brooklyn,Manhattan,Card,2024-04-21 03:04:00
T00000652,2024-05-03 03:47:00,2024-05-03 04:45:00,V004,1,1.89,24.84,5.52,32.32,Brooklyn,Queens,Card,2024-05-06 02:54:00
T00000653,2024-04-20 03:02:00,2024-04-20 03:26:00,V002,1,0.55,10.57,1.10,13.18,Manhattan,Queens,Card,2024-04-22 05:18:00
T00000654,2024-06-14 12:33:00,2024-06-14 13:19:00,V003,1,1.19,19.39,1.06,20.79,Brooklyn,Bronx,Cash,2024-06-17 08:29:00
T00000655,2024-01-18 09:25:00,2024-01-18 10:36:00,V001,2,2.39,29.54,4.43,36.04,Manhattan,Queens,Card,2024-01-20 17:54:00
T00000656,2024-03-27 19:26:00,2024-03-27 19:46:00,V001,2,6.49,21.96,3.05,27.54,Queens,Brooklyn,Card,2024-03-29 06:06:00
T00000657,2024-05-03 11:10:00,2024-05-03 12:07:00,V003,1,3.98,29.38,1.81,33.43,Manhattan,Bronx,Cash,2024-05-05 06:10:00
T00000658,2024-03-15 00:05:00,2024-03-15 00:49:00,V003,2,1.03,18.02,1.78,20.59,Bronx,Queens,Card,2024-03-15 02:36:00
T00000659,2024-06-24 03:46:00,2024-06-24 04:44:00,V003,4,1.46,25.18,4.96,30.48,Manhattan,Manhattan,Card,2024-06-24 06:03:00
T00000660,2024-05-10 00:12:00,2024-05-10 01:10:00,V003,2,2.15,27.43,1.69,30.57,Brooklyn,Queens,Cash,2024-05-11 00:30:00
T00000661,2024-05-02 19:01:00,2024-05-02 20:12:00,V004,1,2.95,31.47,5.95,37.89,Staten Island,Brooklyn,Card,2024-05-04 06:38:00
T00000662,2024-05-31 09:52:00,2024-05-31 11:05:00,V004,3,2.44,30.78,6.74,38.60,Bronx,Bronx,Card,2024-06-03 09:48:00
T00000663,2024-05-30 07:39:00,2024-05-30 07:47:00,V004,4,0.25,5.48,0.86,8.33,Brooklyn,Manhattan,Card,2024-06-01 18:56:00
T00000664,2024-03-30 13:46:00,2024-03-30 14:15:00,V001,2,1.57,15.54,3.49,19.65,Brooklyn,Manhattan,Card,2024-04-02 01:03:00
T00000665,2024-06-11 10:03:00,2024-06-11 10:30:00,V002,1,3.47,19.67,5.40,27.02,Manhattan,Manhattan,Card,2024-06-12 05:05:00
T00000666,2024-03-12 19:47:00,2024-03-12 20:44:00,V003,4,1.61,24.56,3.40,29.12,Brooklyn,Queens,Card,2024-03-13 14:27:00
T00000667,2024-02-29 03:27:00,2024-02-29 04:22:00,V002,4,1.27,21.83,4.15,28.09,Manhattan,Queens,Card,2024-03-02 03:24:00
T00000668,2024-03-19 05:14:00,2024-03-19 05:19:00,V002,1,3.84,11.91,2.29,14.89,Queens,Bronx,Card,2024-03-20 15:25:00
T00000669,2024-05-01 07:14:00,2024-05-01 08:12:00,V001,2,8.69,39.82,11.88,53.33,Queens,Manhattan,Card,2024-05-02 02:35:00
T00000670,2024-03-14 01:13:00,2024-03-14 01:21:00,V001,1,1.86,9.11,2.13,13.94,Manhattan,Brooklyn,Card,2024-03-14 10:03:00
T00000671,2024-04-02 19:37:00,2024-04-02 20:35:00,V002,1,2.30,25.94,3.90,29.97,Manhattan,Manhattan,Card,2024-04-04 16:49:00
T00000672,2024-02-08 14:08:00,2024-02-08 14:48:00,V002,4,1.21,19.69,2.89,22.85,Manhattan,Brooklyn,Card,2024-02-09 08:55:00
T00000673,2024-03-01 07:05:00,2024-03-01 07:55:00,V003,1,7.84,35.08,4.43,40.57,Bronx,Manhattan,Card,2024-03-02 00:40:00
T00000674,2024-01-08 11:18:00,2024-01-08 11:46:00,V001,1,1.19,14.82,2.73,19.64,Brooklyn,Manhattan,Card,2024-01-09 05:33:00
T00000675,2024-02-04 21:34:00,2024-02-04 22:31:00,V002,1,11.50,46.61,5.01,52.85,Queens,Bronx,Other,2024-02-05 08:05:00
T00000676,2024-03-28 21:28:00,2024-03-28 22:25:00,V002,5,2.34,25.52,0.11,28.30,Manhattan,Queens,Cash,2024-03-31 18:20:00
T00000677,2024-05-04 15:28:00,2024-05-04 16:40:00,V004,5,1.65,29.16,0.82,30.73,Manhattan,Manhattan,Cash,2024-05-05 22:44:00
T00000678,2024-04-17 18:58:00,2024-04-17 19:03:00,V004,3,3.59,12.21,1.57,15.73,Brooklyn,Manhattan,Card,2024-04-18 01:36:00
T00000679,2024-04-07 03:11:00,2024-04-07 03:45:00,V001,2,1.43,15.54,1.85,17.97,Manhattan,Queens,Other,2024-04-09 06:28:00
T00000680,2024-02-29 02:01:00,2024-02-29 02:15:00,V004,4,2.27,13.44,3.99,19.15,Manhattan,Brooklyn,Card,2024-03-01 16:46:00
T00000681,2024-02-02 04:10:00,2024-02-02 04:46:00,V004,2,7.10,29.89,1.33,32.73,Queens,Manhattan,Cash,2024-02-03 17:47:00
T00000682,2024-02-07 02:56:00,2024-02-07 03:50:00,V001,1,6.72,35.60,4.27,40.38,Bronx,Manhattan,Card,2024-02-09 23:08:00
T00000683,2024-06-20 17:34:00,2024-06-20 18:01:00,V002,1,1.63,14.75,1.41,16.36,Manhattan,Bronx,Card,2024-06-23 01:18:00
T00000684,2024-01-19 05:55:00,2024-01-19 07:06:00,V001,3,3.06,30.69,2.01,33.06,Queens,Manhattan,Cash,2024-01-19 09:16:00
T00000685,2024-05-24 06:03:00,2024-05-24 06:08:00,V004,1,6.91,19.73,3.66,24.94,Brooklyn,Manhattan,Card,2024-05-26 03:45:00
T00000686,2024-03-28 04:22:00,2024-03-28 04:45:00,V001,2,2.29,13.73,2.74,16.75,Bronx,Brooklyn,Card,2024-03-28 05:14:00
T00000687,2024-06-15 01:19:00,2024-06-15 01:51:00,V001,1,1.53,15.63,0.42,18.48,Queens,Manhattan,Cash,2024-06-16 01:20:00
T00000688,2024-01-21 01:11:00,2024-01-21 01:43:00,V001,5,2.88,18.14,1.17,21.77,Brooklyn,Manhattan,Cash,2024-01-22 23:46:00
T00000689,2024-04-19 03:44:00,2024-04-19 04:11:00,V003,1,5.78,24.73,2.54,29.79,Queens,Bronx,Card,2024-04-19 14:56:00
T00000690,2024-05-23 14:33:00,2024-05-23 14:37:00,V004,5,1.53,8.38,0.82,9.51,Brooklyn,Queens,Other,2024-05-24 10:42:00
T00000691,2024-01-17 11:10:00,2024-01-17 11:55:00,V004,1,3.07,23.62,4.04,29.84,Manhattan,Queens,Card,2024-01-18 21:49:00
T00000692,2024-03-10 18:09:00,2024-03-10 19:06:00,V002,2,3.90,28.62,6.79,36.86,Queens,Queens,Card,2024-03-12 01:22:00
T00000693,2024-05-07 23:51:00,2024-05-08 00:06:00,V001,1,4.50,18.51,2.90,23.74,Bronx,Queens,Card,2024-05-09 16:40:00
T00000694,2024-03-24 19:28:00,2024-03-24 19:50:00,V003,2,1.94,14.85,3.46,18.70,Queens,Queens,Card,2024-03-27 06:09:00
T00000695,2024-03-08 15:54:00,2024-03-08 16:04:00,V003,2,1.00,9.41,1.51,11.14,Manhattan,Brooklyn,Card,2024-03-11 01:15:00
T00000696,2024-01-28 06:07:00,2024-01-28 06:34:00,V002,1,4.20,20.37,0.63,22.77,Manhattan,Manhattan,Cash,2024-01-28 15:05:00
T00000697,2024-06-09 09:50:00,2024-06-09 09:58:00,V002,1,1.61,8.71,0.28,10.95,Manhattan,Brooklyn,Cash,2024-06-11 04:05:00
T00000698,2024-05-09 03:12:00,2024-05-09 03:45:00,V002,1,1.94,16.79,4.10,22.43,Bronx,Queens,Card,2024-05-11 20:02:00
T00000699,2024-03-27 21:51:00,2024-03-27 22:35:00,V003,1,3.04,23.08,3.22,26.59,Brooklyn,Queens,Card,2024-03-29 20:43:00
T00000700,2024-01-06 02:32:00,2024-01-06 03:06:00,V001,2,0.94,16.62,3.35,21.73,Manhattan,Manhattan,Card,2024-01-06 09:33:00
T00000701,2024-04-12 15:00:00,2024-04-12 16:05:00,V001,1,2.88,29.54,7.25,38.79,Staten Island,Queens,Card,2024-04-13 05:42:00
T00000702,2024-03-01 07:33:00,2024-03-01 08:29:00,V004,2,3.98,27.85,0.93,31.17,Manhattan,Manhattan,Cash,2024-03-04 00:02:00
T00000703,2024-01-15 08:04:00,2024-01-15 08:19:00,V004,1,1.97,10.86,3.24,15.48,Staten Island,Queens,Card,2024-01-18 08:05:00
T00000704,2024-06-18 08:13:00,2024-06-18 09:00:00,V002,1,2.44,24.48,5.80,32.16,Manhattan,Staten Island,Card,2024-06-18 19:34:00
T00000705,2024-06-23 09:38:00,2024-06-23 10:01:00,V002,6,7.54,27.30,1.71,30.38,Brooklyn,Manhattan,Cash,2024-06-25 02:42:00
T00000706,2024-01-30 09:29:00,2024-01-30 09:41:00,V001,1,1.12,10.01,1.84,12.55,Bronx,Queens,Card,2024-01-31 05:11:00
T00000707,2024-06-20 02:10:00,2024-06-20 02:29:00,V004,2,2.92,14.94,3.43,19.58,Brooklyn,Queens,Card,2024-06-21 21:38:00
T00000708,2024-03-09 00:38:00,2024-03-09 00:52:00,V003,2,2.26,12.77,2.83,17.64,Manhattan,Bronx,Card,2024-03-09 02:17:00
T00000709,2024-01-29 03:17:00,2024-01-29 03:34:00,V001,1,3.17,14.76,1.48,17.52,Queens,Bronx,Card,2024-01-31 19:22:00
T00000710,2024-01-20 20:44:00,2024-01-20 20:58:00,V001,1,3.42,13.36,2.85,16.79,Queens,Manhattan,Card,2024-01-23 11:21:00
T00000711,2024-01-07 23:15:00,2024-01-08 00:28:00,V001,2,5.41,36.31,5.94,44.83,Brooklyn,Brooklyn,Card,2024-01-10 17:26:00
T00000712,2024-02-08 20:26:00,2024-02-08 20:36:00,V001,1,7.37,20.93,2.33,24.01,Manhattan,Bronx,Card,2024-02-11 10:34:00
T00000713,2024-06-07 14:43:00,2024-06-07 15:40:00,V002,2,2.24,24.72,0.59,27.38,Manhattan,Brooklyn,Cash,2024-06-10 01:13:00
T00000714,2024-03-28 16:15:00,2024-03-28 17:19:00,V002,3,9.11,43.79,10.47,55.85,Manhattan,Queens,Card,2024-03-30 12:51:00
T00000715,2024-01-03 13:58:00,2024-01-03 14:21:00,V004,4,3.96,19.55,2.69,24.23,Staten Island,Staten Island,Card,2024-01-04 07:50:00
T00000716,2024-04-25 11:16:00,2024-04-25 12:17:00,V002,2,0.67,22.99,5.76,30.40,Manhattan,Manhattan,Card,2024-04-26 14:42:00
T00000717,2024-06-25 21:36:00,2024-06-25 21:41:00,V002,1,2.51,10.83,2.06,15.64,Brooklyn,Brooklyn,Card,2024-06-28 08:09:00
T00000718,2024-04-05 05:45:00,2024-04-05 06:31:00,V001,1,3.39,25.12,4.12,31.56,Queens,Brooklyn,Card,2024-04-06 21:31:00
T00000719,2024-05-07 19:29:00,2024-05-07 19:45:00,V004,3,1.23,11.05,2.09,15.21,Bronx,Manhattan,Card,2024-05-10 08:43:00
T00000720,2024-04-01 15:13:00,2024-04-01 15:21:00,V003,3,1.94,9.79,2.63,15.03,Brooklyn,Queens,Card,2024-04-04 07:01:00
T00000721,2024-03-16 04:08:00,2024-03-16 05:02:00,V001,1,2.02,25.66,6.79,34.64,Brooklyn,Manhattan,Card,2024-03-18 13:58:00
T00000722,2024-01-06 22:45:00,2024-01-06 22:50:00,V001,3,9.76,25.82,3.03,30.42,Brooklyn,Brooklyn,Card,2024-01-09 04:36:00
T00000723,2024-02-05 01:44:00,2024-02-05 02:38:00,V003,3,4.70,30.56,0.64,33.69,Brooklyn,Brooklyn,Other,2024-02-05 16:33:00
T00000724,2024-05-09 06:08:00,2024-05-09 06:28:00,V002,2,7.97,26.52,5.35,34.48,Manhattan,Manhattan,Card,2024-05-11 18:31:00
T00000725,2024-01-03 02:24:00,2024-01-03 02:47:00,V001,2,3.05,15.66,3.43,20.07,Manhattan,Bronx,Card,2024-01-04 19:39:00
T00000726,2024-02-05 06:51:00,2024-02-05 08:03:00,V003,2,8.61,43.40,4.26,48.06,Manhattan,Staten Island,Card,2024-02-05 22:30:00
T00000727,2024-01-21 04:40:00,2024-01-21 05:42:00,V004,1,1.49,25.01,6.65,34.17,Manhattan,Manhattan,Card,2024-01-21 09:01:00
T00000728,2024-03-16 07:40:00,2024-03-16 07:53:00,V002,2,1.93,12.38,2.22,15.04,Manhattan,Bronx,Card,2024-03-16 12:30:00
T00000729,2024-01-22 08:05:00,2024-01-22 08:52:00,V004,2,5.09,27.70,1.80,30.03,Manhattan,Manhattan,Cash,2024-01-25 07:04:00
T00000730,2024-05-18 12:41:00,2024-05-18 13:04:00,V001,1,1.47,14.02,1.97,16.54,Manhattan,Queens,Card,2024-05-20 05:35:00
T00000731,2024-03-26 00:32:00,2024-03-26 01:39:00,V002,4,1.85,28.98,0.36,31.52,Brooklyn,Manhattan,Other,2024-03-27 06:05:00
T00000732,2024-06-22 15:03:00,2024-06-22 16:09:00,V002,1,4.89,33.85,5.56,39.96,Brooklyn,Bronx,Card,2024-06-23 01:15:00
T00000733,2024-03-22 19:28:00,2024-03-22 19:53:00,V004,5,2.20,15.93,1.06,18.45,Brooklyn,Manhattan,Cash,2024-03-24 16:16:00
T00000734,2024-03-19 04:01:00,2024-03-19 04:28:00,V002,1,5.63,24.30,3.65,27.98,Manhattan,Brooklyn,Card,2024-03-21 00:42:00
T00000735,2024-06-12 14:40:00,2024-06-12 15:13:00,V002,1,4.95,22.76,4.86,30.05,Bronx,Manhattan,Card,2024-06-15 01:07:00
T00000736,2024-05-04 04:16:00,2024-05-04 05:15:00,V001,1,1.85,25.76,1.30,27.40,Manhattan,Brooklyn,Other,2024-05-06 09:51:00
T00000737,2024-02-13 00:56:00,2024-02-13 01:02:00,V001,2,10.42,28.04,7.44,36.59,Bronx,Bronx,Card,2024-02-13 06:42:00
T00000738,2024-03-02 10:04:00,2024-03-02 10:10:00,V001,1,8.47,22.03,0.62,24.18,Manhattan,Queens,Cash,2024-03-04 16:12:00
T00000739,2024-02-24 07:55:00,2024-02-24 08:57:00,V002,2,13.93,53.41,6.91,62.59,Manhattan,Staten Island,Card,2024-02-26 20:46:00
T00000740,2024-02-11 04:54:00,2024-02-11 05:19:00,V001,2,8.76,29.51,6.83,36.48,Bronx,Manhattan,Card,2024-02-11 12:12:00
T00000741,2024-06-21 10:08:00,2024-06-21 10:50:00,V001,1,5.08,26.42,2.91,30.60,Manhattan,Bronx,Card,2024-06-23 19:35:00
T00000742,2024-04-25 22:40:00,2024-04-25 23:41:00,V003,2,2.12,26.94,6.73,35.00,Manhattan,Queens,Card,2024-04-26 11:19:00
T00000743,2024-03-05 06:19:00,2024-03-05 07:34:00,V003,1,5.50,39.13,7.39,47.10,Queens,Brooklyn,Card,2024-03-07 12:28:00
T00000744,2024-02-04 05:01:00,2024-02-04 06:07:00,V001,1,4.83,35.34,0.77,37.36,Manhattan,Brooklyn,Cash,2024-02-05 00:12:00
T00000745,2024-02-09 19:53:00,2024-02-09 20:43:00,V002,2,5.17,29.56,5.12,36.57,Staten Island,Brooklyn,Card,2024-02-10 10:59:00
T00000746,2024-01-27 19:31:00,2024-01-27 20:34:00,V004,2,2.12,26.67,6.02,33.93,Manhattan,Bronx,Card,2024-01-28 08:22:00
T00000747,2024-03-05 12:30:00,2024-03-05 13:29:00,V001,1,3.41,28.87,2.62,32.54,Bronx,Manhattan,Card,2024-03-06 15:40:00
T00000748,2024-03-14 07:23:00,2024-03-14 07:49:00,V002,2,3.91,20.07,5.84,26.51,Manhattan,Manhattan,Card,2024-03-15 20:29:00
T00000749,2024-02-13 11:11:00,2024-02-13 11:23:00,V002,1,11.83,31.40,4.03,37.70,Queens,Brooklyn,Card,2024-02-14 11:04:00
T00000750,2024-05-23 00:53:00,2024-05-23 01:23:00,V001,1,4.89,21.65,5.07,28.03,Manhattan,Bronx,Card,2024-05-24 10:17:00
T00000751,2024-01-31 23:45:00,2024-02-01 00:29:00,V003,1,2.71,24.16,4.21,28.43,Staten Island,Bronx,Card,2024-02-02 00:07:00
T00000752,2024-05-03 15:28:00,2024-05-03 15:33:00,V002,5,4.75,13.82,3.60,18.98,Staten Island,Bronx,Card,2024-05-06 12:34:00
T00000753,2024-01-31 10:57:00,2024-01-31 11:19:00,V003,1,8.51,27.88,5.58,35.28,Manhattan,Brooklyn,Card,2024-02-02 11:47:00
T00000754,2024-02-24 19:40:00,2024-02-24 20:26:00,V004,3,10.46,39.97,9.23,51.20,Manhattan,Staten Island,Card,2024-02-26 02:50:00
T00000755,2024-04-30 00:49:00,2024-04-30 01:11:00,V002,1,4.69,19.68,1.96,24.17,Brooklyn,Manhattan,Card,2024-05-01 14:54:00
T00000756,2024-06-08 16:18:00,2024-06-08 17:31:00,V004,1,2.28,32.31,5.55,40.59,Manhattan,Manhattan,Card,2024-06-11 16:51:00
T00000757,2024-05-07 18:22:00,2024-05-07 19:09:00,V003,1,8.27,36.28,3.78,40.08,Bronx,Manhattan,Card,2024-05-08 15:59:00
T00000758,2024-04-05 05:50:00,2024-04-05 06:31:00,V002,2,2.52,22.31,1.99,25.08,Brooklyn,Manhattan,Card,2024-04-07 00:36:00
T00000759,2024-01-01 22:14:00,2024-01-01 23:13:00,V002,3,0.80,24.70,0.87,28.21,Brooklyn,Staten Island,Cash,2024-01-03 12:30:00
T00000760,2024-01-26 23:13:00,2024-01-26 23:42:00,V002,4,2.44,18.70,4.29,24.05,Brooklyn,Bronx,Card,2024-01-28 11:42:00
T00000761,2024-06-16 12:23:00,2024-06-16 13:05:00,V002,1,3.44,24.58,6.12,31.39,Brooklyn,Manhattan,Card,2024-06-18 07:03:00
T00000762,2024-01-16 13:58:00,2024-01-16 14:40:00,V002,2,4.38,26.77,2.96,30.95,Manhattan,Bronx,Card,2024-01-18 15:49:00
T00000763,2024-03-26 06:22:00,2024-03-26 07:11:00,V002,1,3.25,25.68,0.76,28.52,Queens,Manhattan,Cash,2024-03-27 16:38:00
T00000764,2024-04-15 15:28:00,2024-04-15 16:37:00,V002,2,13.03,51.10,0.45,53.39,Brooklyn,Queens,Cash,2024-04-18 15:40:00
T00000765,2024-03-24 18:44:00,2024-03-24 18:54:00,V001,1,4.87,16.62,4.49,21.44,Brooklyn,Brooklyn,Card,2024-03-25 02:28:00
T00000766,2024-05-07 17:13:00,2024-05-07 17:43:00,V002,2,1.58,16.58,0.93,19.23,Manhattan,Manhattan,Cash,2024-05-08 14:56:00
T00000767,2024-04-19 22:00:00,2024-04-19 22:19:00,V002,1,4.01,18.78,3.50,22.79,Manhattan,Bronx,Card,2024-04-21 10:11:00
T00000768,2024-05-29 14:00:00,2024-05-29 15:00:00,V004,2,3.42,28.44,1.31,30.22,Queens,Brooklyn,Cash,2024-06-01 08:20:00
T00000769,2024-03-28 11:11:00,2024-03-28 11:52:00,V001,1,4.81,25.55,6.54,33.37,Queens,Manhattan,Card,2024-03-30 02:53:00
T00000770,2024-03-24 05:01:00,2024-03-24 05:20:00,V002,1,2.52,15.55,1.39,19.43,Staten Island,Brooklyn,Card,2024-03-26 20:14:00
T00000771,2024-02-20 09:48:00,2024-02-20 09:53:00,V004,1,2.82,10.19,2.29,13.45,Queens,Brooklyn,Card,2024-02-21 05:20:00
T00000772,2024-02-20 16:05:00,2024-02-20 16:47:00,V004,1,9.71,38.22,4.57,44.74,Brooklyn,Queens,Card,2024-02-22 04:30:00
T00000773,2024-01-24 13:27:00,2024-01-24 14:12:00,V002,2,4.77,26.12,6.30,33.06,Queens,Brooklyn,Card,2024-01-27 07:34:00
T00000774,2024-02-28 22:05:00,2024-02-28 22:38:00,V004,3,6.84,29.12,8.05,39.25,Brooklyn,Manhattan,Card,2024-03-01 09:09:00
T00000775,2024-01-21 20:08:00,2024-01-21 20:16:00,V003,1,7.47,22.27,0.50,24.69,Brooklyn,Staten Island,Cash,2024-01-22 23:52:00
T00000776,2024-02-05 15:06:00,2024-02-05 15:42:00,V002,2,2.03,18.59,4.72,23.55,Manhattan,Staten Island,Card,2024-02-06 05:10:00
T00000777,2024-02-07 01:16:00,2024-02-07 01:24:00,V003,4,2.90,11.79,1.42,15.22,Bronx,Queens,Card,2024-02-09 21:28:00
T00000778,2024-02-04 14:43:00,2024-02-04 15:13:00,V002,2,2.84,18.74,1.78,21.70,Brooklyn,Manhattan,Card,2024-02-05 02:13:00
T00000779,2024-01-24 03:42:00,2024-01-24 04:52:00,V001,1,2.06,29.22,8.38,40.14,Manhattan,Queens,Card,2024-01-24 14:28:00
T00000780,2024-06-07 19:45:00,2024-06-07 20:09:00,V004,1,4.67,21.78,3.66,25.60,Queens,Manhattan,Card,2024-06-10 12:47:00
T00000781,2024-06-19 13:29:00,2024-06-19 14:06:00,V003,1,3.33,23.00,2.87,28.12,Manhattan,Queens,Card,2024-06-19 22:56:00
T00000782,2024-02-12 21:25:00,2024-02-12 22:32:00,V001,4,4.91,33.49,9.65,43.88,Manhattan,Manhattan,Card,2024-02-15 20:10:00
T00000783,2024-02-11 00:06:00,2024-02-11 00:54:00,V002,1,10.14,38.22,9.56,50.01,Brooklyn,Bronx,Card,2024-02-11 03:42:00
T00000784,2024-04-10 13:53:00,2024-04-10 14:58:00,V001,3,6.20,36.60,6.45,45.52,Staten Island,Brooklyn,Card,2024-04-11 17:44:00
T00000785,2024-03-03 11:08:00,2024-03-03 12:07:00,V004,1,3.27,29.67,2.67,34.54,Bronx,Manhattan,Card,2024-03-03 20:12:00
T00000786,2024-01-14 22:43:00,2024-01-14 22:54:00,V001,1,0.74,8.54,1.23,11.44,Brooklyn,Manhattan,Card,2024-01-15 09:43:00
T00000787,2024-01-14 21:42:00,2024-01-14 22:18:00,V004,1,6.36,29.07,0.90,30.80,Brooklyn,Brooklyn,Cash,2024-01-16 07:58:00
T00000788,2024-04-05 21:49:00,2024-04-05 22:27:00,V001,2,1.23,17.48,0.59,18.29,Bronx,Bronx,Cash,2024-04-08 21:54:00
T00000789,2024-02-11 23:13:00,2024-02-11 23:56:00,V003,1,2.98,21.94,1.84,25.57,Brooklyn,Manhattan,Other,2024-02-14 20:23:00
T00000790,2024-06-01 05:57:00,2024-06-01 06:05:00,V001,2,2.50,9.49,0.26,9.80,Brooklyn,Brooklyn,Cash,2024-06-02 13:03:00
T00000791,2024-02-07 10:50:00,2024-02-07 11:42:00,V001,1,0.82,21.49,1.84,25.00,Bronx,Bronx,Card,2024-02-08 23:52:00
T00000792,2024-05-27 12:00:00,2024-05-27 12:31:00,V003,1,9.33,32.30,1.66,34.12,Manhattan,Brooklyn,Cash,2024-05-29 04:05:00
T00000793,2024-06-05 06:54:00,2024-06-05 08:06:00,V002,2,4.60,34.69,8.47,45.70,Manhattan,Manhattan,Card,2024-06-06 21:53:00
T00000794,2024-01-16 13:42:00,2024-01-16 14:17:00,V003,1,4.63,23.25,3.14,28.19,Queens,Manhattan,Card,2024-01-18 08:31:00
T00000795,2024-04-13 11:33:00,2024-04-13 12:18:00,V003,3,3.50,23.28,3.70,28.73,Brooklyn,Brooklyn,Card,2024-04-13 23:29:00
T00000796,2024-02-20 07:48:00,2024-02-20 09:02:00,V001,1,1.74,29.66,0.26,31.65,Manhattan,Queens,Cash,2024-02-20 16:08:00
T00000797,2024-02-12 08:33:00,2024-02-12 08:51:00,V003,1,4.02,16.65,2.17,21.44,Staten Island,Staten Island,Card,2024-02-12 11:23:00
T00000798,2024-05-03 11:55:00,2024-05-03 12:44:00,V002,1,2.09,23.09,2.24,25.89,Brooklyn,Bronx,Card,2024-05-05 21:51:00
T00000799,2024-01-13 23:55:00,2024-01-14 00:53:00,V004,1,2.67,26.67,5.96,33.92,Staten Island,Queens,Card,2024-01-14 23:06:00
T00000800,2024-03-08 01:08:00,2024-03-08 01:17:00,V001,1,4.84,15.18,3.60,20.82,Queens,Queens,Card,2024-03-09 06:57:00
T00000801,2024-03-09 23:10:00,2024-03-09 23:18:00,V003,1,7.46,22.59,1.57,25.71,Staten Island,Queens,Cash,2024-03-12 08:42:00
T00000802,2024-04-08 02:47:00,2024-04-08 03:06:00,V003,2,0.82,10.88,1.51,14.69,Manhattan,Manhattan,Card,2024-04-09 12:37:00
